Query,Ambiguity Type,Retrieved,Retrieved Count,Context Length,Retrieved Context,Ground Truth,Prediction,Similarity,Expert1,Expert2,Final Label,,,,,,
Which road is closest to Mansarovar pond?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,The road closest to Mansarovar pond is the approach road along the western boundary of the Baidyanathdham temple complex (also known as Baba Dham Road).," The closest road to Mansarover Pond can be found along the circumference of Mount Kailash, where a pilgrimage path leads to the sacred lake.",0.7597,Correct,Correct,Ok,1,1,141,152,0.927631579,0
"Which road is next to Baidyanathdham, Deoghar?",Relational Semantic Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"The main road adjacent to Baidyanathdham is the Baba Mandir Road, which runs along the western and northern boundaries of the temple complex."," The intended interpretation is that there may be multiple roads adjacent to or near Baidyanathdham, Deoghar, with varying degrees of proximity and directionality.",0.6592,Not Correct,Not Correct,Halucinate,0,0,163,141,1.156028369,1
Which roads near Baidyanathdham existed before 2000?,Temporal Spatial Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"Roads near Baidyanathdham that existed before 2000 include Baba Mandir Road, Station Road, and the old Deoghar-Sultanganj route.", Roads near Baidyanathdham that were in existence prior to the year 2000.,0.8351,Correct,Correct,Ok,1,1,73,128,0.5703125,0
Which schools are situated in the immediate vicinity of Mansarovar pond?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,Schools in the immediate vicinity of Mansarovar pond include the Baidyanathdham High School and a government primary school within the temple trust premises., Schools located close to or around Mansarovar Pond.,0.7837,Correct,Correct,Ok,1,1,52,157,0.331210191,0
Which section of Dumka Sadar Hospital contains the outpatient pharmacy?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The outpatient pharmacy is located in the OPD block, near the main outpatient registration area of Dumka Sadar Hospital.", The outpatient pharmacy is likely located within the OPD (Outpatient Department) section of Dumka Sadar Hospital.,0.9623,Correct,Correct,Ok,1,1,114,120,0.95,0
Which temple inside Baidyanathdham is the main shrine?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The main shrine inside Baidyanathdham is the Baba Baidyanath Jyotirlinga temple, housing one of the twelve Jyotirlingas."," The Main Shrine in Baidyanathdham is the Dattatray Temple, also known as Baba Baidyanath or Mahadev Temple.",0.6782,Not Correct,Not Correct,Halucinate,0,0,108,120,0.9,1
Which town is next to Dumka?,Relational Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The nearest town to Dumka city is Shikaripara, located roughly 25 kilometres away."," The intended interpretation is that there could be multiple towns next to Dumka, depending on the specific boundary definitions and spatial scale in question. However, without additional context specifying a particular region or administrative level, it's impossible to definitively identify which neighboring town is being referred to.",0.6255,Not Correct,Not Correct,Halucinate,0,0,337,82,4.109756098,1
Which towns on the Dumka–Deoghar route are served by regular bus services?,Relational Semantic Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,"Towns served by regular bus services on the Dumka-Deoghar route include Jarmundi, Sarwan, and Mohanpur."," The query requests information about towns along the Dumka-Deoghar route that receive regular bus services. A possible interpretation would be to identify specific towns, along this specified route, for which there is a consistent and frequent public transportation service provided by buses.",0.6755,Not Correct,Not Correct,Halucinate,0,0,293,103,2.844660194,1
Which village is the closest to the base camp of Trikut Buru?,Relational Semantic Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"The nearest village to the base camp of Trikut Buru is Trikut village (also known as Trikutpar), situated at the foothills."," The closest village to the base camp of Trikut Buru can be interpreted as the one with the shortest distance between its coordinates and those of the base camp, considering Trikut Buru's geographical location. However, to provide a precise answer, more specific information about the exact coordinates for both the base camp and nearby villages is required.",0.8424,Correct,Not Correct,Ok,1,1,358,123,2.910569106,0
Which villages in Dumka are not reachable by roads?,Relational Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,A few remote villages in the hilly and forested areas of Kathikund and Gopikandar blocks in Dumka district have limited or no motorable road access during monsoons., Villages in Dumka that cannot be accessed via defined road network.,0.7282,Not Correct,Correct,Ok,0,1,68,164,0.414634146,0
Which villages were part of Dumka before the district division?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Before the 2001 bifurcation, villages now falling in Jamtara district (including areas near Narayanpur, Jamtara Sadar, and Kundhit) were part of undivided Dumka district."," Before the district division, the villages that were part of Dumka district can be identified by researching historical records and maps at a scale suitable for identifying administrative boundaries from the relevant time period (pre-district division).",0.5182,Not Correct,Not Correct,Halucinate,0,0,254,170,1.494117647,1
"Within the Baidyanathdham complex, where is the main sanctum sanctorum?",Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The main sanctum sanctorum (garbhagriha) is located at the centre of the Baidyanathdham temple complex, housing the Jyotirlinga."," Within the Baidyanathdham complex, the main sanctum sanctorum is generally referred to as the ""Nilkanth Mandir"" where Lord Shiva is worshipped.",0.5978,Not Correct,Not Correct,Halucinate,0,0,144,128,1.125,1
,,,,,,,,,,,,,,,,,80
